ERROR 2019-01-23 09:34:54,118 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:34:54,119 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:34:54,119 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:34:55,121 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:34:55,122 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:34:55,122 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:34:58,606 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:34:58,607 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:01,188 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:01,658 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:05,629 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:05,629 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:05,629 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:07,521 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:07,522 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:07,522 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:09,599 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:12,284 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:12,925 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:35:12,925 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 09:41:51,536 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:46,974 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:48,654 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:49,665 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:49,670 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:49,670 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:51,063 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:51,063 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:52,695 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:53,341 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:53,347 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:53,965 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:53,966 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:57,081 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:57,684 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:00:57,684 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:02,244 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:02,255 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:05,345 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:05,345 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:05,346 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:05,347 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:08,298 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:08,298 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:08,299 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:08,299 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:14,832 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:15,539 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:15,539 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:19,544 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:19,544 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:20,114 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:21,682 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:25,111 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:31,244 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:31,244 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:31,244 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:32,120 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:33,233 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:33,233 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:35,475 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:37,222 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:42,770 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:42,770 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:42,770 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:42,771 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:42,773 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:42,773 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:42,774 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:42,775 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:44,900 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:44,902 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:45,746 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:47,243 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:47,842 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:47,842 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:51,650 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:56,598 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:56,598 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:56,599 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:56,599 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:01:56,599 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:01,761 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:07,034 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:07,035 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:07,035 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:09,947 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:09,948 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:09,948 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:11,886 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:11,888 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:11,889 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:13,559 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:15,591 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:15,593 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:15,593 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:15,593 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:15,594 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:16,839 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:16,840 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:16,840 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:20,704 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:02:20,705 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:03,977 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:04,984 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:05,548 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:05,550 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:05,550 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:06,149 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:06,149 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:06,932 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:07,325 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:07,326 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:07,794 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:07,795 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:09,558 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:09,998 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:09,998 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:12,210 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:12,213 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:13,863 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:13,863 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-24 10:03:13,864 Conversion of price in float failed with error: could not convert string to float: 
