HSZH Verwaltungs AG,DOJ Tax
"Leodan
  Privatbank AG",DOJ Tax
Leodan Privatbank AG,DOJ Tax
"Nortek,
  Inc.",SEC
"Parametric
  Technology (Shanghai) Software Co. Ltd. and Parametric Technology (Hong Kong)
  Limited",DOJ Criminal Division (Fraud)
"Union
  Bancaire Privée, UBP SA",DOJ Tax
"Union Bancaire Privée, UBP SA",DOJ Tax
"VimpelCom
  Limited and Unitel Limited LLC",DOJ Criminal Division (Fraud)
"Olympus
  Latin America, Inc.",DOJ Criminal Division (Fraud)
M&T Bank,DOJ Tax
"Banamex
  USA (Citigroup)","DOJ Money  Laundering,DOJ Asset Forfeiture"
"Breakthru
  Beverage Pennsylvania",M.D. Pa.
"DAXC,
  LLC",S.D. Fla.
"Keppel
  Offshore & Marine LTD","E.D.N.Y.,DOJ Fraud"
"Las
  Vegas Sands Corp.",DOJ Fraud
"Netcracker
  Technology Corporation","DOJ National Security Division,E.D. Va."
"Pharmaceutical
  Technologies, Inc.",E.D. Tex.
"Pio
  Imports, LLC",M.D. Pa.
"Prime
  Partners SA","DOJ Tax,SDNY"
"RBS
  Securities Inc.",D. Conn.
"Utah
  Transit Authority",D. Utah
"White
  Rock Distilleries, Inc.",M.D. Pa.
"Baxter
  Healthcare","""DOJ Consumer
  Protection"",W.D.N.C."
"Sociedad
  Quimica y Minera de Chile, S.A.",DOJ Fraud
Deutsche Bank,DOJ Public Affairs
"State
  Street Corporation","D. Mass.,DOJ Fraud"
"Western
  Union Company, The","S.D. Fla.,DOJ Money  Laundering,DOJ Asset Forfeiture"
"Dennis
  Corporation",N.D.W. Va
AFFAIRE Carmignac Gestion CGSA,PNF Parquet National Financier 
"Telia
  Company AB","DOJ Fraud,SDNY"
"Aegerion
  Pharmaceuticals copy","D. Mass.,""DOJ Consumer
  Protection"""
AFFAIRE HSBC PRIVATE BANK (SUISSE) SA,PNF Parquet National Financier 
"SBM
  Offshore N.V.","DOJ Fraud,S.D. Tex."
"PDQ
  Imaging Services, LLC",E.D. Tex.
"Bank
  Lombard Odier & Co Ltd.",DOJ Tax
Bank  Lombard Odier & Co Ltd.,DOJ Tax
"Central
  States Capital Markets, LLC",SDNY
"Credit
  Suisse (Hong Kong) Limited","DOJ Fraud,E.D.N.Y."
"Hallman
  Chevrolet",W.D. Pa.
"Health
  Management Associates, LLC",DOJ Fraud
"HSBC
  Holdings plc",DOJ Fraud
"Imagina
  Media Audiovisual SL",E.D.N.Y.
"Legg
  Mason, Inc.",E.D.N.Y.
"Mirelis
  Holding S.A.",DOJ Tax
Mirelis Holding,DOJ Tax
"Neue
  Privat Bank AG",DOJ Tax
NPB Neue Privat Bank ,DOJ Tax
"Petróleo
  Brasileiro S.A. – Petrobras","DOJ Fraud,E.D. Va."
"Red
  Cedar Services, Inc.",SDNY
"Rite
  Aid Corporation",S.D.W. Va.
"Santee
  Financial Services, Inc.",SDNY
"Waste
  Management Texas",S.D. Tex.
"Wright
  State University",S.D. Ohio
"Cultural
  Resource Analysts, Inc.",M.D.Tenn.
Rabobank,DOJ Tax
"U.S.
  Bancorp",SDNY
AFFAIRE SAS KAEFFER WANNER,PNF Parquet National Financier 
"Transport
  Logistics International, Inc.","DOJ Fraud,D. Md."
AFFAIRE SAS SET ENVIRONNEMENT,PNF Parquet National Financier 
"Panasonic
  Avionics Corporation",DOJ Fraud
Société Générale S.A.,PNF Parquet National Financier 
AFFAIRE SAS POUJAUD,PNF Parquet National Financier 
"Société
  Générale S.A.","DOJ Fraud,E.D.N.Y."
SGA,E.D.N.Y.
"Zürcher
  Kantonalbank","DOJ Tax,SDNY"
"Basler
  Kantonalbank","S.D. Fla.,DOJ Tax"
Société Générale SA ,SDNY
UBS,Tribunal correctionnel de Paris
Mizrahi-Tefahot Bank LTD,DOJ Public Affairs
Standard Chartered Bank 2019 DPA (amendment of 2012 DPA),DOJ Criminal Division (Fraud)
UniCredit  Bank AG ,DOJ Criminal Division (Fraud)
UniCredit Bank Austria AG ,"DOJ Money  Laundering,District of Columbia "
