"Pharmaceutical
  Technologies, Inc.","ERISA,Anti-Kickback Statute"
Piguet Galland & Cie SA,Tax-Related
"Pio
  Imports, LLC",Bribery / Corruption
PKB Privatbank AG,Tax-Related
PostFinance AG,Tax-Related
"Prime
  Partners SA","Fraud (Tax),Tax-Related"
Privatbank Bellerive AG,Tax-Related
Privatbank IHAG Zürich AG,Tax-Related
Privatbank Reichmuth & Co.,Tax-Related
Privatbank Von Graffenried AG,Tax-Related
Rabobank,money laundering
"RBS
  Securities Inc.",Fraud (Securities)
RBS VN (ABN AMRO),"AML,IEEPA"
"Red
  Cedar Services, Inc.","RICO Act,Fraud (Wire Fraud),AML"
"Rite
  Aid Corporation",Controlled Substances Act
Rothschild Bank AG,Tax-Related
"Santee
  Financial Services, Inc.","RICO Act,Fraud (Wire Fraud),AML,Unnamed record"
SB Saanen Bank AG,Tax-Related
"SBM
  Offshore N.V.","FCPA / Corruption  ,CFTC"
Schaffhauser Kantonalbank,Tax-Related
Schroder & Co. Bank AG,Tax-Related
Scobag Privatbank AG,Tax-Related
SGA,FCPA / Corruption  
"Sociedad
  Quimica y Minera de Chile, S.A.",FCPA / Corruption  
"Société
  Générale S.A.","FCPA / Corruption  ,Market Manipulation  "
"Société Générale Private Banking
  (Lugano-Svizzera)",Tax-Related
"Société Générale Private Banking (Suisse)
  SA",Tax-Related
Société Générale S.A.,Bribery / Corruption
Société Générale SA ,"TWEA,CUBA Regulations"
St. Galler Kantonalbank AG,Tax-Related
Standard Chartered Bank,"IEE,IEEPA,AML"
Standard Chartered Bank (Switzerland) SA,Tax-Related
Standard Chartered Bank 2019 DPA (amendment of 2012 DPA),"IEE,IEEPA"
"State
  Street Corporation","Fraud (Wire Fraud),Fraud (Securities)"
"Telia
  Company AB",FCPA / Corruption  
"Transport
  Logistics International, Inc.",FCPA / Corruption  
"U.S.
  Bancorp","Bank Secrecy Act (BSA) / Secret bancaire ,AML"
UBS,"démarchage bancaire illégal,blanchiment de fraude fiscale"
UBS,"Hide Accounts,Fraud (Tax)"
UBS,Market Manipulation  
UniCredit Bank Austria AG ,"AML,IEE"
"Union
  Bancaire Privée, UBP SA","Tax-Related,Monetary Transactions Offenses"
"Union Bancaire Privée, UBP SA",Tax-Related
"Utah
  Transit Authority",Misuse of public funds
Vadian Bank AG,Tax-Related
Valiant Bank AG,Tax-Related
"VimpelCom
  Limited and Unitel Limited LLC",FCPA / Corruption  
"Waste
  Management Texas",Immigration Violations
"Western
  Union Company, The","aiding and abetting wire fraud.,AML"
"White
  Rock Distilleries, Inc.",Bribery / Corruption
"Wright
  State University",Fraud (Visa)
Zuger Kantonalbank,Tax-Related
"Zürcher
  Kantonalbank","Fraud (Tax),Tax Evasion"
